Title,Course Code,Instructor,Days,Time,Location,Description
Special Study for Graduate Students,SPANISH 298,Estelle Tarica,,,,Individual conferences on special programs of study or research in a restricted field not covered by available courses or seminars.
Special Study for Graduate Students,SPANISH 298,Michael Iarocci,,,,Individual conferences on special programs of study or research in a restricted field not covered by available courses or seminars.
Special Study for Graduate Students,SPANISH 298,Justin Davidson,,,,Individual conferences on special programs of study or research in a restricted field not covered by available courses or seminars.
Special Study for Graduate Students,SPANISH 298,Thomas Patrick McEnaney,,,,Individual conferences on special programs of study or research in a restricted field not covered by available courses or seminars.
Special Study for Graduate Students,SPANISH 298,Alexandra Saum Pascual,,,,Individual conferences on special programs of study or research in a restricted field not covered by available courses or seminars.
Special Study for Graduate Students,SPANISH 298,Jerry R Craddock,,,,Individual conferences on special programs of study or research in a restricted field not covered by available courses or seminars.
Special Study for Graduate Students,SPANISH 298,Dru Dougherty,,,,Individual conferences on special programs of study or research in a restricted field not covered by available courses or seminars.
Special Study for Graduate Students,SPANISH 298,Ignacio E Navarrete,,,,Individual conferences on special programs of study or research in a restricted field not covered by available courses or seminars.
Special Study for Graduate Students,SPANISH 298,Ivonne Del Valle,,,,Individual conferences on special programs of study or research in a restricted field not covered by available courses or seminars.
Special Study for Graduate Students,SPANISH 298,Natalia Brizuela,,,,Individual conferences on special programs of study or research in a restricted field not covered by available courses or seminars.
Special Advanced Study,SPANISH 299,Natalia Brizuela,,,,N/A
Special Advanced Study,SPANISH 299,Francine R Masiello,,,,N/A
Special Advanced Study,SPANISH 299,Emilie L Bergmann,,,,N/A
Special Advanced Study,SPANISH 299,Jerry R Craddock,,,,N/A
Special Advanced Study,SPANISH 299,Milton M Azevedo,,,,N/A
Special Advanced Study,SPANISH 299,Candace Slater,,,,N/A
Special Advanced Study,SPANISH 299,Estelle Tarica,,,,N/A
Special Advanced Study,SPANISH 299,Ivonne Del Valle,,,,N/A
Special Advanced Study,SPANISH 299,Ignacio E Navarrete,,,,N/A
Special Advanced Study,SPANISH 299,Dru Dougherty,,,,N/A
Special Advanced Study,SPANISH 299,Justin Davidson,,,,N/A
Special Advanced Study,SPANISH 299,Estelle Tarica,,,,N/A
Special Advanced Study,SPANISH 299,Ivonne Del Valle,,,,N/A
Special Advanced Study,SPANISH 299,Daylet Dominguez,,,,N/A
Special Advanced Study,SPANISH 299,Michael Iarocci,,,,N/A
Special Advanced Study,SPANISH 299,Alexandra Saum Pascual,,,,N/A
Practicum in College Teaching of Spanish and Portuguese,SPANISH 302,N/A,F,12:00 pm - 2:59 pm,,N/A
Teaching Spanish in College,SPANISH 375,N/A,"TU, TH",12:30 pm - 1:59 pm,Dwinelle 204,"Lectures on methodology, grading and testing, class preparation, textbook evaluation, course design. Includes language laboratory observations and supervised classroom practice. Required for all new graduate student instructors."
Individual Study for Doctoral Students,SPANISH 602,Ignacio E Navarrete,,,,"Individual study, subject to the approval of the graduate adviser, intended to provide an opportunity for students to prepare for the qualifying examination required of candidates for the Ph.D. May be taken only in the semester in which the examination is attempted or in the immediately preceding one."
"Freshman/Sophomore Seminar: Filipino Spirituality: Influences of Catholicism, Islam, and Indigenous Beliefs in Philippine Art and Literature",SSEASN 39,"Cynthia Agnes C Aban, Maria Barrios-Leblanc",TU,9:00 am - 10:59 am,Dwinelle 189,N/A
"Freshman/Sophomore Seminar: Fiction, Truth, and Memory in the Narratives of Filipina Writers",SSEASN 39,"Maria Barrios-Leblanc, Karen Llagas",TH,9:00 am - 10:59 am,Dwinelle 189,N/A
Introduction to the Study of Buddhism,SSEASN C52,Robert H Sharf,"M, W, F",10:00 am - 10:59 am,Latimer 120,"This introduction to the study of Buddhism will consider materials drawn from various Buddhist traditions of Asia, from ancient times down to the present day. However, the course is not intended to be a comprehensive or systematic survey; rather than aiming at breadth, the course is designed around key themes such as ritual, image veneration, mysticism, meditation, and death. The overarching emphasis throughout the course will be on the hermeneutic difficulties attendant upon the study of religion in general, and Buddhism in particular."
Directed Group Study for Upper Division Students: South Asian Studies,SSEASN 198A,Vasugi Kailasam,TH,6:00 pm - 8:59 pm,Dwinelle 105,Tutorial instruction in areas not covered by regularly scheduled courses. Four-unit limit per term.
Seminar in Buddhism and Buddhist Texts,SSEASN C220,Robert H Sharf,W,2:00 pm - 4:59 pm,Dwinelle 288,"Content varies with student interests. The course will normally focus on classical Buddhist texts that exist in multiple recensions and languages, including Chinese, Sanskrit, and Tibetan."
Seminar in South and Southeast Asian Studies,SSEASN 250,Munis D Faruqui,W,4:00 pm - 6:59 pm,Social Sciences Building 186,Topics vary from semester to semester.
Seminar in South and Southeast Asian Studies: TAMIL WORLDS IN SOUTH AND SOUTHEAST ASIA,SSEASN 250,Vasugi Kailasam,W,10:00 am - 12:59 pm,,N/A
Seminar in South and Southeast Asian Studies,SSEASN 250,Rahul Bjorn Parson,W,2:00 pm - 4:59 pm,,Topics vary from semester to semester.
"Seminar in South and Southeast Asian Studies: Reading Benedict Anderson: Politics, History, Literature, Southeast Asia",SSEASN 250,"Peter B Zinoman, Lisandro Claudio",W,9:00 am - 10:59 am,Dwinelle 3104,N/A
Dissertation Preparation and Related Research: South Asian Studies,SSEASN 299A,N/A,,,,Normally reserved for students directly engaged in writing the doctoral dissertation.
Dissertation Preparation and Related Research: Southeast Asian Studies,SSEASN 299E,Lisandro Claudio,,,,Normally reserved for students directly engaged in writing the doctoral dissertation.
Dissertation Preparation and Related Research: Sanskrit,SSEASN 299F,N/A,,,,Normally reserved for students directly engaged in writing the doctoral dissertation.
Methods and Problems in Teaching South and Southeast Asian Studies,SSEASN 375,Rahul Bjorn Parson,M,2:00 pm - 4:59 pm,Social Sciences Building 78,"Team-taught by a faculty member and an advanced graduate student instructor, this weekly seminar will expose GSIs to methods and potential problems in teaching. Building a syllabus, grading, teaching writing and reading comprehension, fairness in the classroom, maintaining enthusiasm, developing a professional teaching portfolio, and campus resources for special needs students will be covered. The seminar will include periodic videotaping and feedback within each student's classroom."
Individual Study for Masters Students: Sanskrit,SSEASN 601F,N/A,,,,Individual study for the comprehensive or language requirements in consultation with the graduate adviser.
Introduction to Statistics,STAT 2,Adam R Lucas,,,Internet/Online,"Population and variables. Standard measures of location, spread and association. Normal approximation. Regression. Probability and sampling. Interval estimation. Some standard significance tests."
Foundations of Data Science,STAT C8,Jeremy Sanchez,"M, W, F",10:00 am - 10:59 am,Wheeler 150,"Foundations of data science from three perspectives: inferential thinking, computational thinking, and real-world relevance. Given data arising from some real-world phenomenon, how does one analyze that data so as to understand that phenomenon? The course teaches critical concepts and skills in computer programming and statistical inference, in conjunction with hands-on analysis of real-world datasets, including economic data, document collections, geographical data, and social networks. It delves into social and legal issues surrounding data analysis, including issues of privacy and data ownership."
Introduction to Probability and Statistics,STAT 20,Gaston Sanchez Trujillo,"M, W, F",8:00 am - 8:59 am,Wheeler 212,"For students with mathematical background who wish to acquire basic concepts. Relative frequencies, discrete probability, random variables, expectation. Testing hypotheses. Estimation. Illustrations from various fields."
Introduction to Probability and Statistics,STAT 20,Andrew Bray,"M, W, F",9:00 am - 9:59 am,Moffitt Library 145,"For students with mathematical background who wish to acquire basic concepts. Relative frequencies, discrete probability, random variables, expectation. Testing hypotheses. Estimation. Illustrations from various fields."
Introduction to Probability and Statistics,STAT 20,Andrea Massari,"M, W, F",1:00 pm - 1:59 pm,Moffitt Library 145,"For students with mathematical background who wish to acquire basic concepts. Relative frequencies, discrete probability, random variables, expectation. Testing hypotheses. Estimation. Illustrations from various fields."
Introduction to Probability and Statistics,STAT 20,Andrea Massari,"M, W, F",11:00 am - 11:59 am,Moffitt Library 145,"For students with mathematical background who wish to acquire basic concepts. Relative frequencies, discrete probability, random variables, expectation. Testing hypotheses. Estimation. Illustrations from various fields."
Introduction to Probability and Statistics,STAT 20,Adam R Lucas,"M, TU, TH",10:00 am - 10:59 am,Moffitt Library 145,"For students with mathematical background who wish to acquire basic concepts. Relative frequencies, discrete probability, random variables, expectation. Testing hypotheses. Estimation. Illustrations from various fields."
Introduction to Probability and Statistics,STAT 20,Adam R Lucas,"M, TU, TH",12:00 pm - 12:59 pm,Moffitt Library 145,"For students with mathematical background who wish to acquire basic concepts. Relative frequencies, discrete probability, random variables, expectation. Testing hypotheses. Estimation. Illustrations from various fields."
Introduction to Probability and Statistics,STAT 20,Andrea Massari,"M, TU, TH",4:00 pm - 4:59 pm,Moffitt Library 145,"For students with mathematical background who wish to acquire basic concepts. Relative frequencies, discrete probability, random variables, expectation. Testing hypotheses. Estimation. Illustrations from various fields."
Introduction to Probability and Statistics,STAT 20,Gaston Sanchez Trujillo,"M, TU, TH",2:00 pm - 2:59 pm,Moffitt Library 145,"For students with mathematical background who wish to acquire basic concepts. Relative frequencies, discrete probability, random variables, expectation. Testing hypotheses. Estimation. Illustrations from various fields."
"Data, Inference, and Decisions",STAT C102,"Alexander Strang, Ramesh Sridharan","TU, TH",3:30 pm - 4:59 pm,Stanley 105,"This course develops the probabilistic foundations of inference in data science, and builds a comprehensive view of the modeling and decision-making life cycle in data science including its human, social, and ethical implications. Topics include: frequentist and Bayesian decision-making, permutation testing, false discovery rate, probabilistic interpretations of models, Bayesian hierarchical models, basics of experimental design, confidence intervals, causal inference, Thompson sampling, optimal control, Q-learning, differential privacy, clustering algorithms, recommendation systems and an introduction to machine learning tools including decision trees, neural networks and ensemble methods."
Statistical Methods for Data Science,STAT C131A,N/A,"M, W, F",2:00 pm - 2:59 pm,Morgan 101,"This course teaches a broad range of statistical methods that are used to solve data problems. Topics include group comparisons and ANOVA, standard parametric statistical models, multivariate data visualization, multiple linear regression, logistic regression and classification, regression trees and random forests. An important focus of the course is on statistical computing and reproducible statistical analysis. The course and lab include hands-on experience in analyzing real world data from the social, life, and physical sciences. The R statistical language is used."
Concepts in Computing with Data,STAT 133,Gaston Sanchez Trujillo,"M, W, F",1:00 pm - 1:59 pm,Stanley 105,"An introduction to computationally intensive applied statistics. Topics will include organization and use of databases, visualization and graphics, statistical learning and data mining, model validation procedures, and the presentation of results. This course uses R as its primary computing language; details are determined by the instructor."
Concepts of Probability,STAT 134,Shobhana Murali Stoyanov,"TU, TH",12:30 pm - 1:59 pm,Valley Life Sciences 2050,"An introduction to probability, emphasizing concepts and applications. Conditional expectation, independence, laws of large numbers. Discrete and continuous random variables. Central limit theorem. Selected topics such as the Poisson process, Markov chains, characteristic functions."
Concepts of Statistics,STAT 135,Sam Pimentel,"M, W, F",9:00 am - 9:59 am,Genetics & Plant Bio 100,"A comprehensive survey course in statistical theory and methodology. Topics include descriptive statistics, maximum likelihood estimation, non-parametric methods, introduction to optimality, goodness-of-fit tests, analysis of variance, bootstrap and computer-intensive methods and least squares estimation. The laboratory includes computer-based data-analytic applications to science and engineering."
Stochastic Processes,STAT 150,N/A,"M, W, F",11:00 am - 11:59 am,GSPP 150,"Random walks, discrete time Markov chains, Poisson processes. Further topics such as: continuous time Markov chains, queueing theory, point processes, branching processes, renewal theory, stationary processes, Gaussian processes."
Linear Modelling: Theory and Applications,STAT 151A,Ryan Giordano,"TU, TH",12:30 pm - 1:59 pm,Social Sciences Building 20,"A coordinated treatment of linear and generalized linear models and their application. Linear regression, analysis of variance and covariance, random effects, design and analysis of experiments, quality improvement, log-linear models for discrete multivariate data, model selection, robustness, graphical techniques, productive use of computers, in-depth case studies. This course uses either R or Python as its primary computing language, as determined by the instructor."
Introduction to Time Series,STAT 153,Ryan Tibshirani,"TU, TH",2:00 pm - 3:29 pm,Valley Life Sciences 2040,"An introduction to time series analysis in the time domain and spectral domain. Topics will include: estimation of trends and seasonal effects, autoregressive moving average models, forecasting, indicators, harmonic analysis, spectra. This course uses either R or Python as its primary computing language, as determined by the instructor."
Modern Statistical Prediction and Machine Learning,STAT 154,Song Mei,"TU, TH",9:30 am - 10:59 am,Etcheverry 3108,"Theory and practice of statistical prediction. Contemporary methods as extensions of classical methods. Topics: optimal prediction rules, the curse of dimensionality, empirical risk, linear regression and classification, basis expansions, regularization, splines, the bootstrap, model selection, classification and regression trees, boosting, support vector machines. Computational efficiency versus predictive performance. Emphasis on experience with real data and assessing statistical assumptions. This course uses Python as its primary computing language; details are determined by the instructor."
Game Theory,STAT 155,Shobhana Murali Stoyanov,"TU, TH",3:30 pm - 4:59 pm,Moffitt Library 102,"General theory of zero-sum, two-person games, including games in extensive form and continuous games, and illustrated by detailed study of examples."
Causal Inference,STAT 156,N/A,"TU, TH",11:00 am - 12:29 pm,Moffitt Library 101,"This course will focus on approaches to causal inference using the potential outcomes framework. It will also use causal diagrams at an intuitive level. The main topics are classical randomized experiments, observational studies, instrumental variables, principal stratification and mediation analysis. Applications are drawn from a variety of fields including political science, economics, sociology, public health, and medicine. This course is a mix of statistical theory and data analysis. Students will be exposed to statistical questions that are relevant to decision and policy making. This course uses R as its primary computing language; details are determined by the instructor."
Introduction to Probability at an Advanced Level,STAT 201A,Yun S Song,"TU, TH",3:30 pm - 4:59 pm,Stanley 106,"Distributions in probability and statistics, central limit theorem, Poisson processes, modes of convergence, transformations involving random variables."
Introduction to Statistics at an Advanced Level,STAT 201B,Elizabeth Purdom,"TU, TH",11:00 am - 12:29 pm,Stanley 106,"Estimation, confidence intervals, hypothesis testing, linear models, large sample theory, categorical models, decision theory."
Probability Theory,STAT C205A,Steven N Evans,"TU, TH",2:00 pm - 3:29 pm,Evans 330,"The course is designed as a sequence with Statistics C205B/Mathematics C218B with the following combined syllabus. Measure theory concepts needed for probability. Expection, distributions. Laws of large numbers and central limit theorems for independent random variables. Characteristic function methods. Conditional expectations, martingales and martingale convergence theorems. Markov chains. Stationary processes. Brownian motion."
Theoretical Statistics,STAT 210A,William Fithian,"TU, TH",11:00 am - 12:29 pm,Evans 60,"An introduction to mathematical statistics, covering both frequentist and Bayesian aspects of modeling, inference, and decision-making. Topics include statistical decision theory; point estimation; minimax and admissibility; Bayesian methods; exponential families; hypothesis testing; confidence intervals; small and large sample theory; and M-estimation."
Applied Statistics and Machine Learning,STAT 215A,Bin Yu,"TU, TH",12:30 pm - 1:59 pm,Wheeler 204,"Applied statistics and machine learning, focusing on answering scientific questions using data, the data science life cycle, critical thinking, reasoning, methodology, and trustworthy and reproducible computational practice. Hands-on-experience in open-ended data labs, using programming languages such as R and Python. Emphasis on understanding and examining the assumptions behind standard statistical models and methods and the match between the assumptions and the scientific question. Exploratory data analysis. Model formulation, fitting, model testing and validation, interpretation, and communication of results. Methods, including linear regression and generalizations, decision trees, random forests, simulation, and randomization methods."
Introduction to Statistical Computing,STAT 243,Christopher Paciorek,"M, W, F",10:00 am - 10:59 am,Evans 60,"Concepts in statistical programming and statistical computation, including programming principles, data and text manipulation, parallel processing, simulation, numerical linear algebra, and optimization."
Biostatistical Methods: Survival Analysis and Causality,STAT C245B,Mark van der Laan,"TU, TH",12:30 pm - 1:59 pm,Berkeley Way West 1212,"Analysis of survival time data using parametric and non-parametric models, hypothesis testing, and methods for analyzing censored (partially observed) data with covariates. Topics include marginal estimation of a survival function, estimation of a generalized multivariate linear regression model (allowing missing covariates and/or outcomes), estimation of a multiplicative intensity model (such as Cox proportional hazards model) and estimation of causal parameters assuming marginal structural models. General theory for developing locally efficient estimators of the parameters of interest in censored data models. Computing techniques, numerical methods, simulation and general implementation of biostatistical analysis techniques with emphasis on data applications."
Longitudinal Data Analysis,STAT C247C,Alan E Hubbard,"TU, TH",11:00 am - 12:29 pm,Berkeley Way West 1205,"Course covers statistical issues surrounding estimation of effects using data on units followed through time. Course emphasizes a regression model approach for estimating associations of disease incidence modeling, continuous outcome data/linear models & longitudinal extensions to nonlinear models forms (e.g., logistic). Course emphasizes complexities that repeated measures has on the estimation process & opportunities it provides if data is modeled appropriately. Most time is spent on 2 approaches: mixed models based upon explicit (latent variable) maximum likelihood estimation of the sources of the dependence, versus empirical estimating equation approaches (generalized estimating equations). Primary focus is from the analysis side."
Modern Statistical Prediction and Machine Learning,STAT 254,Song Mei,"TU, TH",9:30 am - 10:59 am,Etcheverry 3108,"This course is about statistical learning methods and their use for data analysis. Upon completion, students will be able to build baseline models for real world data analysis problems, implement models using programming languages and draw conclusions from models. The course will cover principled statistical methodology for basic machine learning tasks such as regression, classification, dimension reduction and clustering. Methods discussed will include linear regression, subset selection, ridge regression, LASSO, logistic regression, kernel smoothing methods, tree based methods, bagging and boosting, neural networks, Bayesian methods, as well as inference techniques based on resampling, cross validation and sample splitting."
Causal Inference,STAT 256,N/A,"TU, TH",11:00 am - 12:29 pm,Moffitt Library 101,"This course will focus on approaches to causal inference using the potential outcomes framework. It will also use causal diagrams at an intuitive level. The main topics are classical randomized experiments, observational studies, instrumental variables, principal stratification and mediation analysis. Applications are drawn from a variety of fields including political science, economics, sociology, public health, and medicine. This course is a mix of statistical theory and data analysis. Students will be exposed to statistical questions that are relevant to decision and policy making."
Topics in Probability and Statistics,STAT 260,Nikita Zhivotovskiy,"TU, TH",11:00 am - 12:29 pm,Evans 340,Special topics in probability and statistics offered according to student demand and faculty availability.
Statistical Consulting,STAT 272,James Bentley Brown,W,9:00 am - 10:59 am,Evans 443,To be taken concurrently with service as a consultant in the department's drop-in consulting service. Participants will work on problems arising in the service and will discuss general ways of handling such problems. There will be working sessions with researchers in substantive fields and occasional lectures on consulting.
Statistics Research Seminar,STAT 278B,N/A,W,4:00 pm - 4:59 pm,Evans 1011,"Special topics, by means of lectures and informational conferences."
Statistics Research Seminar,STAT 278B,N/A,W,3:00 pm - 3:59 pm,Evans 1011,"Special topics, by means of lectures and informational conferences."
Directed Study for Graduate Students,STAT 298,"Peng Ding, Avi I Feller, Sam Pimentel",TH,2:00 pm - 3:29 pm,,Special tutorial or seminar on selected topics.
Directed Study for Graduate Students,STAT 298,Peng Ding,M,1:00 pm - 2:59 pm,,Special tutorial or seminar on selected topics.
Directed Study for Graduate Students,STAT 298,"Haiyan Huang, Ahmed Alaa",TH,1:30 pm - 2:59 pm,,Special tutorial or seminar on selected topics.
Individual Study Leading to Higher Degrees,STAT 299,N/A,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Peter Bartlett,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,N/A,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,N/A,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Shirshendu Ganguly,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Sandrine Dudoit,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,N/A,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Steven N Evans,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,William Fithian,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,N/A,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Christopher Paciorek,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Adityanand Guntuboyina,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Alan Hammond,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Haiyan Huang,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Jacob Noah Steinhardt,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Michael Jordan,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Song Mei,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Jon Mcauliffe,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Avi I Feller,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Rasmus Nielsen,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,N/A,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,N/A,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Elizabeth Purdom,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Michael Mahoney,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,N/A,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Fernando Perez,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Yun S Song,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Philip B Stark,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,N/A,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Mark van der Laan,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,N/A,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Martin J Wainwright,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Bin Yu,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Peng Ding,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Sam Pimentel,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,James Bentley Brown,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,N/A,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Vadim Gorin,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Ryan Tibshirani,,,,Individual study
Individual Study Leading to Higher Degrees,STAT 299,Nikita Zhivotovskiy,,,,Individual study
Professional Preparation: Teaching of Probability and Statistics,STAT 375,Andrew Bray,,,,"Discussion, problem review and development, guidance of laboratory classes, course development, supervised practice teaching."
Individual Study for Master's Candidates,STAT 601,Adityanand Guntuboyina,,,,"Individual study in consultation with the graduate adviser, intended to provide an opportunity for qualified students to prepare themselves for the master's comprehensive examinations. Units may not be used to meet either unit or residence requirements for a master's degree."
Individual Study for Doctoral Candidates,STAT 602,Elizabeth Purdom,,,,"Individual study in consultation with the graduate adviser, intended to provide an opportunity for qualified students to prepare themselves for certain examinations required of candidates for the Ph.D. degree."
Topics in Science and Technology Studies,STS C200,Massimo Mazzotti,M,10:00 am - 11:59 am,Stephens 470,"This course provides a strong foundation for graduate work in STS, a multidisciplinary field with a signature capacity to rethink the relationship among science, technology, and political and social life. From climate change to population genomics, access to medicines and the impact of new media, the problems of our time are simultaneously scientific and social, technological and political, ethical and economic."
Beginning Swedish,SWEDISH 1A,Lotta Linnea Weckstrom,"M, W, F",9:00 am - 9:59 am,Social Sciences Building 50,Students will continue to develop the basic elements of communicative competence in both the spoken and written language within a cultural context.
Introductory Tamil,TAMIL 1A,Bharathy Sankara Rajulu,"TU, TH",11:00 am - 12:29 pm,Evans 6,The grammar of modern Tamil will be covered followed by readings in simple texts. Practice will also be given in spoken Tamil.
Readings in Tamil,TAMIL 101A,Bharathy Sankara Rajulu,"TU, TH",2:00 pm - 3:29 pm,Mulford 107,"These courses introduce students to a variety of literary styles. 101A will consist of weekly readings and discussions of short stories, poems, and dramatic sketches from representative authors. Short written assignments on themes suggested by the readings are required. Special attention is paid to matters of style and idiom. 101B is devoted to viewing films based on a variety of themes (social, village, mythological, classical Tamil) and to reading scripts and oral written exercises. Students will acquire language skills sufficient to approach literary texts on their own."
Elementary Telugu,TELUGU 1A,Bharathy Sankara Rajulu,"TU, TH",12:30 pm - 1:59 pm,Social Sciences Building 78,"The focus of this course will be on systematic grammar, essential vocabulary, and conversations. The goal is to achieve basic reading, writing, and conversational competence as well as exposure to Telugu culture and traditions through language learning. Students will be able to read short stories by the end of this course with some facility."
Performance: Writing and Research: Queerealia: Archives and the Pleasures of Objecthood,THEATER R1A,N/A,"TU, TH",11:00 am - 12:29 pm,Evans 5,N/A
"Performance: Writing and Research: Cyborg Entanglements: New Media, Dis/ability, and the Oriental",THEATER R1A,Evan James Tadashi Sakuma,"TU, TH",12:30 pm - 1:59 pm,Cory 237,N/A
Performance: Writing and Research: Female Playwrights,THEATER R1B,Srijani Ghosh,"TU, TH",12:30 pm - 1:59 pm,Evans 5,N/A
Performance: Writing and Research: Indigenous Art in the Americas,THEATER R1B,Patricia Gomes,"TU, TH",2:00 pm - 3:29 pm,Cory 237,N/A
Performance: Writing and Research: Television Studies,THEATER R1B,N/A,"TU, TH",9:30 am - 10:59 am,Cory 237,N/A
Performance: Writing and Research: What a Body Can Do,THEATER R1B,Sima V Belmar,"M, W, F",1:00 pm - 1:59 pm,Cory 237,N/A
Fundamentals of Acting I,THEATER 10,Michael S Moran,"M, W, F",10:00 am - 11:59 am,Dwinelle B45X,"Fundamentals of Acting I (Theater 10) is the entry level course for the acting sequence and focuses on releasing and cultivating the actor’s inherent creativity. Through exercises, improvisation, scenes, and monologues, the actor begins to develop basic techniques designed to stimulate the imagination, develop vocal and physical ability, increase awareness of self and others, introduce effective ways to analyze texts, think critically about the craft of acting, and enhance self-confidence and communication skills. This class is the essential beginning of the actor’s studies, which will ultimately allow her or him to effectively engage and explore work from a rich diversity of genres, styles, and backgrounds."
Fundamentals of Acting I,THEATER 10,Patrick A Russell,"M, W, F",12:00 pm - 1:59 pm,Zellerbach 7,"Fundamentals of Acting I (Theater 10) is the entry level course for the acting sequence and focuses on releasing and cultivating the actor’s inherent creativity. Through exercises, improvisation, scenes, and monologues, the actor begins to develop basic techniques designed to stimulate the imagination, develop vocal and physical ability, increase awareness of self and others, introduce effective ways to analyze texts, think critically about the craft of acting, and enhance self-confidence and communication skills. This class is the essential beginning of the actor’s studies, which will ultimately allow her or him to effectively engage and explore work from a rich diversity of genres, styles, and backgrounds."
Fundamentals of Acting I,THEATER 10,Daniel Larlham,"M, W, F",12:00 pm - 1:59 pm,Zellerbach 170,"Fundamentals of Acting I (Theater 10) is the entry level course for the acting sequence and focuses on releasing and cultivating the actor’s inherent creativity. Through exercises, improvisation, scenes, and monologues, the actor begins to develop basic techniques designed to stimulate the imagination, develop vocal and physical ability, increase awareness of self and others, introduce effective ways to analyze texts, think critically about the craft of acting, and enhance self-confidence and communication skills. This class is the essential beginning of the actor’s studies, which will ultimately allow her or him to effectively engage and explore work from a rich diversity of genres, styles, and backgrounds."
Fundamentals of Acting I,THEATER 10,Jessica Berman,"TU, TH",1:00 pm - 3:59 pm,Zellerbach 7,"Fundamentals of Acting I (Theater 10) is the entry level course for the acting sequence and focuses on releasing and cultivating the actor’s inherent creativity. Through exercises, improvisation, scenes, and monologues, the actor begins to develop basic techniques designed to stimulate the imagination, develop vocal and physical ability, increase awareness of self and others, introduce effective ways to analyze texts, think critically about the craft of acting, and enhance self-confidence and communication skills. This class is the essential beginning of the actor’s studies, which will ultimately allow her or him to effectively engage and explore work from a rich diversity of genres, styles, and backgrounds."
Introduction to Performance Studies,THEATER 26,Julia H Fawcett,"M, W, F",10:00 am - 10:59 am,Anthro/Art Practice Bldg 160,"This course introduces the critical terms and practices of the contemporary study of performance. Several key terms and important genres of artistic and social performance will be engaged; the course will draw critical and disciplinary methods from anthropology and ethnography, from the theory of dance and theater, from literary and cultural theory. Critical and theoretical concepts will be used to analyze a wide range of live and recorded performances, as well as performance texts."
Beginning Modern Dance Technique,THEATER 40,Bear Graham,"M, W, F",2:00 pm - 3:59 pm,2401 Bancroft 10,"Introduction to dance techniques. Study of foundational concepts of movement such as: principles of alignment, locomotion, dance terminology, and musicality."
Beginning African Dance in Hip Hop,THEATER 45,Latanya D Tigner,"M, W, F",8:00 am - 9:59 am,2401 Bancroft 10,"Introduction to African dance techniques found within Hip Hop and African American dance genres. Focus on footwork/patterns, articulation of spine/isolations, rhythmic structures, dynamic movement qualities, and the study of the historical, political, spiritual, and social aspects of these forms.  "
Dance in American Cultures,THEATER 52AC,Sima V Belmar,"M, W, F",11:00 am - 11:59 am,Valley Life Sciences 2040,N/A
Introduction to Technical Theater and Production,THEATER 60,"Laxmi Kumaran, Ray Oppenheimer","TU, TH",11:00 am - 12:29 pm,Wheeler 204,"A practical introduction to the terminology, theories, approaches, and techniques of technical theater and production. The course will cover theatrical terminology, stage equipment and architecture, production personnel and processes, and design departments, including scenery, properties, costumes, lighting, sound, and video."
Directed Group Study,THEATER 98,N/A,,,,Group study of a topic not included in the regular department curriculum. Topics may be initiated by students.
Independent Study,THEATER 99,N/A,,,,Study of a topic not included in the regular department curriculum.
